spieltag	sp_nr	team1	team2	datum1	datum2
1	1	12	1	1659724259	1674927059
1	2	15	10	1659792659	1674916259
1	3	6	3	1659792659	1674916259
1	4	2	11	1659792659	1674916259
1	5	20	8	1659792659	1674916259
1	6	4	7	1659792659	1674916259
1	7	16	17	1659803459	1675009859
1	8	18	5	1659879059	1674847859
1	9	13	9	1659886259	1675002659
2	1	7	16	1660329059	1675521059
2	2	11	18	1660397459	1675607459
2	3	17	4	1660397459	1675452659
2	4	10	12	1660397459	1675521059
2	5	3	20	1660397459	1675521059
2	6	5	13	1660397459	1675521059
2	7	9	6	1660408259	1675531859
2	8	8	15	1660483859	1675521059
2	9	1	2	1660491059	1675614659
3	1	6	10	1660933859	1676212259
3	2	17	3	1661002259	1676125859
3	3	18	7	1661002259	1676125859
3	4	16	11	1661002259	1676125859
3	5	2	9	1661002259	1676057459
3	6	4	8	1661002259	1676125859
3	7	15	5	1661013059	1676136659
3	8	12	13	1661088659	1676219459
3	9	20	1	1661095859	1676125859
4	1	7	20	1661538659	1676730659
4	2	9	15	1661607059	1676817059
4	3	10	16	1661607059	1676824259
4	4	8	17	1661607059	1676831459
4	5	3	4	1661607059	1676662259
4	6	5	2	1661607059	1676730659
4	7	1	6	1661617859	1676730659
4	8	13	18	1661693459	1676730659
4	9	11	12	1661700659	1676741459
5	1	16	3	1662143459	1677335459
5	2	20	11	1662211859	1677335459
5	3	17	7	1662211859	1677421859
5	4	18	9	1662211859	1677346259
5	5	2	13	1662211859	1677335459
5	6	15	1	1662211859	1677429059
5	7	12	5	1662222659	1677335459
5	8	4	10	1662298259	1677335459
5	9	6	8	1662305459	1677267059
6	1	11	4	1662748259	1677940259
6	2	1	18	1662816659	1677951059
6	3	10	17	1662816659	1678026659
6	4	12	2	1662816659	1678033859
6	5	3	8	1662816659	1677940259
6	6	5	16	1662816659	1677871859
6	7	9	20	1662827459	1677940259
6	8	13	15	1662903059	1677940259
6	9	7	6	1662910259	1677940259
7	1	8	10	1663353059	1678545059
7	2	17	11	1663421459	1678638659
7	3	18	12	1663421459	1678545059
7	4	16	9	1663421459	1678555859
7	5	4	1	1663421459	1678545059
7	6	6	5	1663432259	1678545059
7	7	15	2	1663507859	1678645859
7	8	20	13	1663515059	1678476659
7	9	3	7	1663522259	1678631459
8	1	9	4	1664724659	1679149859
8	2	11	6	1664641859	1679081459
8	3	7	8	1664631059	1679250659
8	4	5	20	1664631059	1679149859
8	5	1	17	1664562659	1679243459
8	6	13	16	1664631059	1679160659
8	7	2	18	1664631059	1679149859
8	8	10	3	1664717459	1679149859
8	9	12	15	1664631059	1679236259
9	1	20	12	1665235859	1680287459
9	2	17	9	1665235859	1680355859
9	3	18	15	1665336659	1680355859
9	4	6	13	1665322259	1680442259
9	5	16	1	1665246659	1680366659
9	6	10	7	1665329459	1680355859
9	7	8	5	1665235859	1680355859
9	8	4	2	1665235859	1680355859
9	9	3	11	1665167459	1680449459
10	1	9	3	1665772259	1681061459
10	2	11	8	1665840659	1680960659
10	3	18	20	1665840659	1681054259
10	4	1	7	1665941459	1680960659
10	5	13	4	1665927059	1680960659
10	6	2	6	1665840659	1681047059
10	7	12	17	1665840659	1680960659
10	8	15	16	1665934259	1680960659
10	9	5	10	1665851459	1680971459
11	1	7	11	1666445459	1681651859
11	2	20	15	1666531859	1681659059
11	3	17	2	1666445459	1681666259
11	4	6	12	1666456259	1681576259
11	5	16	18	1666445459	1681565459
11	6	10	9	1666539059	1681497059
11	7	8	13	1666377059	1681565459
11	8	4	5	1666445459	1681565459
11	9	3	1	1666445459	1681565459
12	1	9	7	1667147459	1682256659
12	2	11	10	1666981859	1682170259
12	3	18	4	1667050259	1682101859
12	4	1	8	1667050259	1682170259
12	5	13	3	1667154659	1682170259
12	6	2	20	1667050259	1682170259
12	7	12	16	1667061059	1682181059
12	8	15	6	1667140259	1682271059
12	9	5	17	1667050259	1682263859
13	1	11	9	1667669459	1682785859
13	2	7	13	1667752259	1682775059
13	3	17	15	1667745059	1682775059
13	4	6	18	1667590259	1682775059
13	5	16	20	1667658659	1682706659
13	6	10	1	1667658659	1682861459
13	7	8	2	1667658659	1682868659
13	8	4	12	1667658659	1682775059
13	9	3	5	1667658659	1682775059
14	1	9	8	1668022259	1683311459
14	2	20	6	1667935859	1683379859
14	3	18	10	1667935859	1683379859
14	4	1	11	1667935859	1683390659
14	5	13	17	1668015059	1683311459
14	6	2	16	1667928659	1683473459
14	7	12	3	1668022259	1683379859
14	8	15	4	1668022259	1683379859
14	9	5	7	1668022259	1683379859
15	1	9	1	1668274259	1683984659
15	2	11	5	1668263459	1684078259
15	3	7	15	1668357059	1683984659
15	4	17	18	1668263459	1684071059
15	5	6	16	1668195059	1683995459
15	6	10	13	1668263459	1683916259
15	7	8	12	1668349859	1683984659
15	8	4	20	1668263459	1683984659
15	9	3	2	1668263459	1683984659
16	1	20	10	1674311459	1684589459
16	2	18	8	1674311459	1684675859
16	3	6	17	1674405059	1684690259
16	4	13	11	1674322259	1684589459
16	5	16	4	1674397859	1684683059
16	6	2	7	1674311459	1684521059
16	7	12	9	1674311459	1684589459
16	8	15	3	1674311459	1684589459
16	9	5	1	1674243059	1684600259
17	1	9	5	1674581459	1685194259
17	2	11	15	1674675059	1685194259
17	3	7	12	1674675059	1685194259
17	4	17	20	1674675059	1685194259
17	5	1	13	1674588659	1685194259
17	6	10	2	1674588659	1685194259
17	7	8	16	1674667859	1685194259
17	8	4	6	1674675059	1685194259
17	9	3	18	1674588659	1685194259
