team_nr	sieg	unentschieden	niederlage	punkte	tore	gegentore	heim	spieltag
1	1	0	0	3	6	1	0	1
1	1	0	0	3	2	0	1	2
1	1	0	0	3	7	0	0	3
1	0	1	0	1	1	1	1	4
1	0	1	0	1	1	1	0	5
1	0	1	0	1	2	2	1	6
1	0	0	1	0	0	1	0	7
1	1	0	0	3	4	0	1	8
1	0	1	0	1	2	2	0	9
1	1	0	0	3	5	0	1	10
1	1	0	0	3	2	0	0	11
1	1	0	0	3	6	2	1	12
1	1	0	0	3	3	2	0	13
1	1	0	0	3	6	1	1	14
1	1	0	0	3	2	0	0	15
1	0	1	0	1	1	1	0	16
1	0	1	0	1	1	1	1	17
1	0	1	0	1	1	1	1	18
1	1	0	0	3	4	2	0	19
1	1	0	0	3	3	0	1	20
1	0	0	1	0	2	3	0	21
1	1	0	0	3	3	0	1	22
1	1	0	0	3	2	1	0	23
1	1	0	0	3	5	3	1	24
1	0	0	1	0	1	2	0	25
1	1	0	0	3	4	2	1	26
1	1	0	0	3	1	0	0	27
1	0	1	0	1	1	1	1	28
1	0	0	1	0	1	3	0	29
1	1	0	0	3	2	0	1	30
1	1	0	0	3	2	1	0	31
1	1	0	0	3	6	0	1	32
1	0	0	1	0	1	3	1	33
1	1	0	0	3	2	1	0	34
2	0	1	0	1	2	2	1	1
2	0	0	1	0	0	2	0	2
2	0	1	0	1	0	0	1	3
2	0	0	1	0	0	2	0	4
2	0	0	1	0	2	4	1	5
2	1	0	0	3	1	0	0	6
2	0	0	1	0	0	2	0	7
2	1	0	0	3	3	2	1	8
2	0	1	0	1	1	1	0	9
2	0	1	0	1	2	2	1	10
2	0	1	0	1	2	2	0	11
2	1	0	0	3	4	0	1	12
2	1	0	0	3	3	0	0	13
2	1	0	0	3	2	0	1	14
2	1	0	0	3	2	1	0	15
2	1	0	0	3	6	0	1	16
2	1	0	0	3	5	0	0	17
2	0	0	1	0	1	2	0	18
2	0	0	1	0	2	4	1	19
2	0	1	0	1	0	0	0	20
2	0	0	1	0	0	3	1	21
2	1	0	0	3	2	0	0	22
2	0	1	0	1	2	2	1	23
2	0	1	0	1	1	1	1	24
2	1	0	0	3	1	0	0	25
2	0	1	0	1	2	2	1	26
2	0	0	1	0	0	2	0	27
2	0	1	0	1	0	0	1	28
2	1	0	0	3	5	1	0	29
2	1	0	0	3	3	0	1	30
2	0	0	1	0	0	6	0	31
2	1	0	0	3	2	1	1	32
2	0	0	1	0	0	2	0	33
2	0	0	1	0	1	2	1	34
3	0	0	1	0	1	3	0	1
3	1	0	0	3	3	2	1	2
3	1	0	0	3	3	0	0	3
3	1	0	0	3	1	0	1	4
3	0	0	1	0	0	1	0	5
3	1	0	0	3	4	1	1	6
3	0	1	0	1	0	0	1	7
3	0	1	0	1	1	1	0	8
3	0	0	1	0	1	2	1	9
3	1	0	0	3	3	0	0	10
3	0	0	1	0	0	2	1	11
3	0	1	0	1	1	1	0	12
3	0	0	1	0	1	3	1	13
3	0	0	1	0	2	4	0	14
3	0	0	1	0	1	2	1	15
3	0	0	1	0	1	3	0	16
3	0	1	0	1	2	2	1	17
3	0	0	1	0	1	4	1	18
3	0	0	1	0	2	5	0	19
3	0	0	1	0	1	3	1	20
3	0	0	1	0	0	1	0	21
3	0	0	1	0	0	1	1	22
3	0	0	1	0	0	1	0	23
3	0	0	1	0	1	2	0	24
3	1	0	0	3	3	1	1	25
3	1	0	0	3	2	1	0	26
3	1	0	0	3	2	0	1	27
3	0	1	0	1	1	1	0	28
3	0	0	1	0	1	3	1	29
3	0	0	1	0	0	1	0	30
3	1	0	0	3	3	1	1	31
3	0	0	1	0	1	2	0	32
3	1	0	0	3	4	2	1	33
3	0	1	0	1	1	1	0	34
4	0	0	1	0	0	4	1	1
4	1	0	0	3	2	1	0	2
4	0	0	1	0	1	2	1	3
4	0	0	1	0	0	1	0	4
4	0	0	1	0	0	2	1	5
4	1	0	0	3	1	0	0	6
4	1	0	0	3	1	0	1	7
4	1	0	0	3	3	2	0	8
4	0	1	0	1	1	1	1	9
4	0	0	1	0	2	3	0	10
4	0	1	0	1	3	3	1	11
4	0	0	1	0	1	2	0	12
4	0	0	1	0	1	2	1	13
4	0	1	0	1	2	2	0	14
4	0	0	1	0	0	1	1	15
4	0	0	1	0	3	4	0	16
4	1	0	0	3	1	0	1	17
4	0	0	1	0	1	3	0	18
4	1	0	0	3	1	0	1	19
4	0	0	1	0	1	3	0	20
4	1	0	0	3	1	0	1	21
4	0	0	1	0	0	2	0	22
4	1	0	0	3	2	1	1	23
4	0	0	1	0	3	5	0	24
4	0	1	0	1	1	1	1	25
4	0	1	0	1	2	2	0	26
4	0	0	1	0	1	3	1	27
4	0	0	1	0	2	3	0	28
4	0	1	0	1	1	1	1	29
4	0	1	0	1	1	1	0	30
4	1	0	0	3	1	0	1	31
4	0	0	1	0	2	3	0	32
4	0	0	1	0	0	3	1	33
4	0	0	1	0	0	2	0	34
5	0	1	0	1	1	1	0	1
5	0	1	0	1	2	2	1	2
5	0	0	1	0	1	2	0	3
5	1	0	0	3	2	0	1	4
5	0	0	1	0	0	4	0	5
5	1	0	0	3	3	0	1	6
5	0	0	1	0	0	3	0	7
5	1	0	0	3	4	0	1	8
5	0	1	0	1	1	1	0	9
5	1	0	0	3	3	2	1	10
5	0	1	0	1	3	3	0	11
5	1	0	0	3	2	0	1	12
5	1	0	0	3	3	1	0	13
5	1	0	0	3	3	1	1	14
5	1	0	0	3	2	1	0	15
5	0	1	0	1	1	1	1	16
5	1	0	0	3	6	1	0	17
