spieltag	sp_nr	user_nr	tore1	tore2
1	1	2	3	2
1	1	3	2	1
1	1	4	2	1
1	1	5	1	2
1	1	7	2	1
1	1	8	3	2
1	1	9	3	1
1	1	10	1	2
1	1	11	2	1
1	1	12	2	2
1	1	13	1	3
1	1	14	2	1
1	1	17	3	1
1	1	20	2	1
1	1	24	2	2
1	1	32	2	1
1	1	34	3	2
1	1	35	1	3
1	1	36	2	2
1	1	37	2	1
1	1	42	1	3
1	1	43	1	3
1	1	45	1	4
1	1	46	2	1
1	1	47	3	2
1	1	49	2	1
1	1	50	2	1
1	1	51	2	1
1	1	52	3	2
1	1	54	2	3
1	1	55	1	1
1	1	56	2	4
1	1	57	1	1
1	1	58	2	1
1	1	60	5	2
1	1	61	1	1
1	1	62	2	4
1	1	63	3	2
1	2	2	2	0
1	2	3	1	1
1	2	4	2	0
1	2	5	2	0
1	2	7	2	1
1	2	8	2	1
1	2	9	1	0
1	2	10	3	1
1	2	11	1	2
1	2	12	1	1
1	2	13	2	1
1	2	14	2	1
1	2	17	2	0
1	2	20	1	2
1	2	24	1	1
1	2	32	2	0
1	2	34	2	0
1	2	35	2	0
1	2	36	2	1
1	2	37	2	0
1	2	42	1	2
1	2	43	2	1
1	2	45	1	2
1	2	46	2	0
1	2	47	1	3
1	2	49	2	2
1	2	50	2	1
1	2	51	1	1
1	2	52	1	0
1	2	54	2	1
1	2	55	1	2
1	2	56	3	2
1	2	57	2	0
1	2	58	2	1
1	2	60	3	3
1	2	61	1	69
1	2	62	2	0
1	2	63	3	1
1	3	2	3	1
1	3	3	3	1
1	3	4	3	2
1	3	5	2	0
1	3	7	2	1
1	3	8	2	1
1	3	9	2	1
1	3	10	2	1
1	3	11	1	3
1	3	12	1	2
1	3	13	2	1
1	3	14	3	2
1	3	17	1	2
1	3	20	2	1
1	3	24	2	1
1	3	32	2	1
1	3	34	2	1
1	3	35	2	1
1	3	36	3	0
1	3	37	3	1
1	3	42	3	2
1	3	43	1	1
1	3	45	2	2
1	3	46	1	0
1	3	47	2	2
1	3	49	2	1
1	3	50	2	1
1	3	51	1	1
1	3	52	2	2
1	3	54	2	0
1	3	55	3	1
1	3	56	2	1
1	3	57	2	2
1	3	58	2	1
1	3	60	3	4
1	3	61	1	0
1	3	62	2	2
1	3	63	1	1
1	4	2	1	1
1	4	3	1	0
1	4	4	1	0
1	4	5	2	0
1	4	7	3	1
1	4	8	2	2
1	4	9	3	0
1	4	10	1	2
1	4	11	0	2
1	4	12	2	0
1	4	13	2	1
1	4	14	1	0
1	4	17	0	2
1	4	20	2	1
1	4	24	1	0
1	4	32	1	0
1	4	34	2	0
1	4	35	2	0
1	4	36	3	0
1	4	37	2	0
1	4	42	2	1
1	4	43	2	0
1	4	45	3	1
1	4	46	2	0
1	4	47	3	0
1	4	49	1	1
1	4	50	2	1
1	4	51	1	0
1	4	52	2	0
1	4	54	0	1
1	4	55	3	0
1	4	56	2	1
1	4	57	3	0
1	4	58	2	0
1	4	60	3	2
1	4	61	2	1
1	4	62	2	1
1	4	63	1	1
1	5	2	1	2
1	5	3	2	2
1	5	4	1	2
1	5	5	0	2
1	5	7	1	1
1	5	8	1	2
1	5	9	2	1
1	5	10	1	2
1	5	11	2	2
1	5	12	1	2
1	5	13	1	1
1	5	14	2	1
1	5	17	1	1
1	5	20	1	1
1	5	24	0	2
1	5	32	0	1
1	5	34	2	1
1	5	35	1	1
1	5	36	1	1
1	5	37	1	2
1	5	42	1	0
1	5	43	2	1
1	5	45	0	1
1	5	46	1	3
1	5	47	0	1
1	5	49	0	2
1	5	50	1	2
1	5	51	1	1
1	5	52	1	2
1	5	54	1	1
1	5	55	2	2
1	5	56	1	1
1	5	57	2	1
1	5	58	1	2
1	5	60	5	2
1	5	61	4	1
1	5	62	1	1
1	5	63	1	3
1	6	2	1	2
1	6	3	1	2
1	6	4	1	2
1	6	5	0	2
1	6	7	1	3
1	6	8	2	2
1	6	9	1	2
1	6	10	1	2
1	6	11	2	1
1	6	12	1	1
1	6	13	1	2
1	6	14	1	1
1	6	17	1	2
1	6	20	1	2
1	6	24	1	3
1	6	32	1	2
1	6	34	1	2
1	6	35	1	1
1	6	36	1	2
1	6	37	1	2
1	6	42	1	2
1	6	43	1	2
1	6	45	1	2
1	6	46	0	1
1	6	47	1	2
1	6	49	0	0
1	6	50	1	2
1	6	51	1	1
1	6	52	1	3
1	6	54	0	2
1	6	55	2	0
1	6	56	1	2
1	6	57	1	1
1	6	58	1	2
1	6	60	2	5
1	6	61	1	3
1	6	62	0	2
1	6	63	1	2
1	7	2	3	2
1	7	3	3	2
1	7	4	3	2
1	7	5	2	0
1	7	7	3	1
1	7	8	3	1
1	7	9	2	0
1	7	10	2	1
1	7	11	4	2
1	7	12	2	1
1	7	13	3	2
1	7	14	1	1
1	7	17	2	0
1	7	20	2	1
1	7	24	3	1
1	7	32	2	1
1	7	34	1	2
1	7	35	3	2
1	7	36	3	2
1	7	37	3	1
1	7	42	2	2
1	7	43	2	1
1	7	45	2	2
1	7	46	2	0
1	7	47	4	3
1	7	49	2	1
1	7	50	2	1
1	7	51	2	1
1	7	52	3	1
1	7	54	2	1
1	7	55	3	3
1	7	56	4	3
1	7	57	4	1
1	7	58	2	1
1	7	60	6	5
1	7	61	1	0
1	7	62	3	2
1	7	63	2	1
1	8	2	1	2
1	8	3	0	2
1	8	4	1	2
1	8	5	0	2
1	8	7	1	2
1	8	8	1	3
1	8	9	0	2
1	8	10	1	3
1	8	11	1	1
1	8	12	2	1
1	8	13	0	2
1	8	14	1	1
1	8	17	1	2
1	8	20	2	1
1	8	24	0	3
1	8	32	0	2
1	8	34	1	3
1	8	35	1	2
1	8	36	1	3
1	8	37	1	2
1	8	42	1	3
1	8	43	0	3
1	8	45	1	3
1	8	46	0	3
1	8	47	1	5
1	8	49	0	3
1	8	50	1	2
1	8	51	1	3
1	8	52	0	3
1	8	54	0	2
1	8	55	2	3
1	8	56	1	3
1	8	57	1	3
1	8	58	0	2
1	8	60	2	4
1	8	61	1	4
1	8	62	1	3
1	8	63	1	3
1	9	2	2	1
1	9	3	1	0
1	9	4	1	0
1	9	5	2	1
1	9	7	3	1
1	9	8	2	1
1	9	9	2	1
1	9	10	2	1
1	9	11	2	1
1	9	12	2	1
1	9	13	1	1
1	9	14	3	0
1	9	17	2	1
1	9	20	1	2
1	9	24	2	0
1	9	32	2	1
1	9	34	2	1
1	9	35	2	2
1	9	36	0	1
1	9	37	2	1
1	9	42	1	0
1	9	43	2	1
1	9	45	2	2
1	9	46	0	1
1	9	47	2	0
1	9	49	2	0
1	9	50	2	1
1	9	51	1	1
1	9	52	1	1
1	9	54	0	1
1	9	55	3	0
1	9	56	2	1
1	9	57	3	1
1	9	58	2	0
1	9	60	1	5
1	9	61	0	2
1	9	62	2	1
1	9	63	2	0
2	1	2	1	2
2	1	3	1	2
2	1	5	0	2
2	1	7	1	1
2	1	8	2	2
2	1	9	2	1
2	1	11	2	2
2	1	12	2	1
2	1	13	1	3
2	1	14	2	3
2	1	17	1	2
2	1	20	1	2
2	1	24	1	2
2	1	34	2	2
2	1	35	1	1
2	1	36	1	2
2	1	37	0	2
2	1	42	1	2
2	1	43	1	2
2	1	45	2	3
2	1	46	1	1
2	1	47	1	3
2	1	49	1	2
2	1	50	1	2
2	1	51	1	2
2	1	52	2	3
2	1	54	2	3
2	1	55	2	2
2	1	56	0	2
2	1	57	2	1
2	1	58	1	2
2	1	60	2	5
2	1	61	0	2
2	1	62	1	3
2	1	63	2	3
2	1	64	1	2
2	2	2	1	1
2	2	3	2	1
2	2	4	1	1
2	2	5	0	0
2	2	7	2	1
2	2	8	1	2
2	2	9	1	0
2	2	10	2	1
2	2	11	2	1
2	2	12	1	1
2	2	13	1	1
2	2	14	2	2
2	2	17	2	1
2	2	20	1	1
2	2	24	1	1
2	2	34	3	1
2	2	35	2	1
2	2	36	1	1
2	2	37	0	2
2	2	42	1	2
2	2	43	2	1
2	2	45	2	2
2	2	46	2	0
2	2	47	2	2
2	2	49	1	1
2	2	50	2	1
2	2	51	1	1
2	2	52	1	1
2	2	54	0	1
2	2	55	1	0
2	2	56	1	1
2	2	57	2	2
2	2	58	1	2
2	2	60	4	0
2	2	61	3	1
2	2	62	2	2
2	2	63	0	2
2	2	64	0	1
2	3	2	3	0
2	3	3	3	0
2	3	4	3	1
2	3	5	2	0
2	3	7	3	1
2	3	8	2	1
2	3	9	3	0
2	3	10	3	1
2	3	11	2	1
2	3	12	2	0
2	3	13	2	0
2	3	14	1	0
2	3	17	2	1
2	3	20	2	1
2	3	24	3	1
2	3	34	3	0
2	3	35	3	1
2	3	36	2	1
2	3	37	2	1
2	3	42	2	0
2	3	43	2	0
2	3	45	4	1
2	3	46	1	0
2	3	47	2	0
2	3	49	3	0
2	3	50	2	1
2	3	51	3	0
2	3	52	4	1
2	3	54	2	0
2	3	55	2	0
2	3	56	4	1
2	3	57	4	1
2	3	58	2	0
2	3	60	2	1
2	3	61	1	1
2	3	62	4	1
2	3	63	2	1
2	3	64	2	1
2	4	2	1	3
2	4	3	1	3
2	4	4	1	2
2	4	5	0	2
2	4	7	1	2
2	4	8	1	3
2	4	9	0	3
2	4	10	1	3
2	4	11	1	2
2	4	12	1	2
2	4	13	1	2
2	4	14	1	2
2	4	17	0	4
2	4	20	1	2
2	4	24	1	3
2	4	34	1	2
2	4	35	1	1
2	4	36	1	2
2	4	37	1	3
2	4	42	0	1
2	4	43	0	1
2	4	45	2	1
2	4	46	0	2
2	4	47	1	1
2	4	49	0	3
2	4	50	1	2
2	4	51	1	2
2	4	52	1	2
2	4	54	1	2
2	4	55	1	2
2	4	56	1	2
2	4	57	1	3
2	4	58	1	2
2	4	60	1	5
2	4	61	1	6
2	4	62	1	2
2	4	63	1	4
2	4	64	0	2
2	5	2	2	2
2	5	3	2	1
2	5	4	1	1
2	5	5	2	0
2	5	7	3	1
2	5	8	2	1
2	5	9	2	0
2	5	10	1	1
2	5	11	1	0
2	5	12	2	2
2	5	13	2	1
2	5	14	2	1
2	5	17	1	0
2	5	20	2	1
2	5	24	1	0
2	5	34	2	0
2	5	35	2	0
2	5	36	2	1
2	5	37	2	1
2	5	42	2	1
2	5	43	2	1
2	5	45	3	1
2	5	46	2	1
2	5	47	3	0
2	5	49	2	1
2	5	50	2	1
2	5	51	3	1
2	5	52	2	0
2	5	54	1	0
2	5	55	3	0
2	5	56	2	1
2	5	57	3	0
2	5	58	2	0
2	5	60	3	1
2	5	61	1	2
2	5	62	2	0
2	5	63	1	1
2	5	64	3	0
2	6	2	2	1
2	6	3	2	1
2	6	4	3	1
2	6	5	2	0
2	6	7	2	1
2	6	8	3	1
2	6	9	2	0
2	6	10	2	1
2	6	11	2	1
2	6	12	2	1
2	6	13	2	1
2	6	14	3	1
2	6	17	2	1
2	6	20	1	2
2	6	24	2	1
2	6	34	2	0
2	6	35	2	1
2	6	36	2	1
2	6	37	3	1
2	6	42	2	0
2	6	43	2	0
2	6	45	3	1
2	6	46	3	0
2	6	47	5	2
2	6	49	2	1
2	6	50	2	1
2	6	51	4	2
2	6	52	2	0
2	6	54	3	1
2	6	55	2	2
2	6	56	3	1
2	6	57	3	1
2	6	58	2	0
2	6	60	4	4
2	6	61	1	0
2	6	62	3	1
2	6	63	2	0
2	6	64	2	0
2	7	2	1	2
2	7	3	0	2
2	7	4	1	1
2	7	5	0	2
2	7	7	1	2
2	7	8	1	2
2	7	9	1	2
2	7	10	1	1
2	7	11	1	2
2	7	12	1	1
2	7	13	1	2
2	7	14	0	3
2	7	17	1	1
2	7	20	1	1
2	7	24	1	1
2	7	34	0	2
2	7	35	2	2
2	7	36	1	2
2	7	37	0	2
2	7	42	0	2
2	7	43	1	2
2	7	45	2	2
2	7	46	1	0
2	7	47	1	3
2	7	49	2	2
2	7	50	1	2
2	7	51	3	1
2	7	52	1	3
2	7	54	0	2
2	7	55	2	3
2	7	56	1	3
2	7	57	2	1
2	7	58	1	2
2	7	60	4	5
2	7	61	1	2
2	7	62	1	1
2	7	63	1	2
2	7	64	0	2
2	8	2	1	2
2	8	3	1	2
2	8	4	2	0
2	8	5	2	0
2	8	7	2	1
2	8	8	1	2
2	8	9	2	2
2	8	10	1	1
2	8	11	1	1
2	8	12	1	2
2	8	13	1	2
2	8	14	2	2
2	8	17	1	2
2	8	20	1	2
2	8	24	3	1
2	8	32	1	2
2	8	34	2	1
2	8	35	2	1
2	8	36	1	2
2	8	37	0	1
2	8	42	1	2
2	8	43	1	2
2	8	45	2	3
2	8	46	0	0
2	8	47	1	2
2	8	49	0	0
2	8	50	2	1
2	8	51	1	2
2	8	52	1	2
2	8	54	1	1
2	8	55	1	1
2	8	56	1	2
2	8	57	2	1
2	8	58	2	1
2	8	60	3	4
2	8	61	3	1
2	8	62	2	1
2	8	63	1	1
2	8	64	1	1
2	9	2	3	1
2	9	3	4	1
2	9	4	3	0
2	9	5	2	0
2	9	7	3	0
2	9	8	5	1
2	9	9	4	1
2	9	10	3	1
2	9	11	4	1
2	9	12	3	1
2	9	13	3	1
2	9	14	3	1
2	9	17	2	0
2	9	20	4	1
2	9	24	3	0
2	9	32	3	0
2	9	34	4	0
2	9	35	4	0
2	9	36	3	0
2	9	37	4	1
2	9	42	3	1
2	9	43	3	0
2	9	45	3	0
2	9	46	2	0
2	9	47	4	0
2	9	49	4	0
2	9	50	3	1
2	9	51	5	2
2	9	52	3	1
2	9	54	3	1
2	9	55	4	1
2	9	56	4	1
2	9	57	3	1
2	9	58	2	0
2	9	60	5	4
2	9	61	5	1
2	9	62	4	0
2	9	63	4	0
2	9	64	3	1
3	1	2	2	0
3	1	3	3	1
3	1	4	1	0
3	1	5	2	0
3	1	7	3	1
3	1	8	2	1
3	1	9	3	1
3	1	10	2	1
3	1	11	3	1
3	1	12	2	1
3	1	13	2	1
3	1	14	3	2
3	1	17	2	2
3	1	20	2	1
3	1	24	2	0
3	1	32	2	0
3	1	34	1	1
3	1	35	2	1
3	1	36	2	1
3	1	37	2	0
3	1	42	2	0
3	1	45	2	1
3	1	46	0	0
3	1	47	1	2
3	1	49	3	1
3	1	50	2	1
3	1	51	2	12
3	1	52	3	1
3	1	54	3	1
3	1	55	2	0
3	1	56	3	1
3	1	57	3	1
3	1	58	2	0
3	1	60	3	1
3	1	61	2	0
3	1	62	3	1
3	1	63	2	1
3	1	64	2	1
3	2	2	2	1
3	2	3	3	1
3	2	4	2	0
3	2	5	3	1
3	2	7	2	2
3	2	8	2	2
3	2	9	2	1
3	2	10	2	1
3	2	11	1	2
3	2	12	2	1
3	2	13	2	1
3	2	14	2	1
3	2	17	2	1
3	2	20	2	1
3	2	24	2	1
3	2	32	2	1
3	2	34	1	1
3	2	35	2	1
3	2	36	2	1
3	2	37	2	1
3	2	42	3	1
3	2	43	2	1
3	2	45	2	1
3	2	46	2	0
3	2	47	2	0
3	2	49	2	1
3	2	50	2	1
3	2	51	4	2
3	2	52	2	2
3	2	54	1	2
3	2	55	3	1
3	2	56	1	2
3	2	57	3	1
3	2	58	2	0
3	2	60	2	4
3	2	61	2	1
3	2	62	4	2
3	2	63	2	2
3	2	64	3	3
3	3	2	1	1
3	3	3	1	2
3	3	4	1	1
3	3	5	3	1
3	3	7	2	1
3	3	8	1	2
3	3	9	1	2
3	3	10	1	2
3	3	11	0	2
3	3	12	2	3
3	3	13	1	2
3	3	14	1	2
3	3	17	1	1
3	3	20	1	2
3	3	24	1	2
3	3	32	1	2
3	3	34	1	3
3	3	35	2	2
3	3	36	1	2
3	3	37	1	2
3	3	42	1	2
3	3	43	2	1
3	3	45	1	2
3	3	46	1	2
3	3	47	1	3
3	3	49	1	1
3	3	50	1	2
3	3	51	1	2
3	3	52	1	2
3	3	54	0	2
3	3	55	1	3
3	3	56	1	2
3	3	57	1	1
3	3	58	1	2
3	3	60	2	3
3	3	61	1	1
