Pizza Name,Beschreibung,Vegetarisch
Pizza Margherita,mit Tomaten und Käse,vegetarisch
Pizza Vorderschinken,mit Vorderschinken,nicht vegetarisch
Pizza Salami,mit Salami,nicht vegetarisch
Pizza Peperoniwurst,mit Peperoniwurst,nicht vegetarisch
Pizza Champignons,mit Champignons,vegetarisch
Pizza Paprika,mit Paprika,vegetarisch
Pizza Brokkoli,mit Brokkoli,vegetarisch
Pizza Artischocken,mit Artischocken,vegetarisch
Pizza Spinat mit Hirtenkäse,mit Spinat und Hirtenkäse,vegetarisch
Pizza Leo,mit Vorderschinken und Peperoniwurst,nicht vegetarisch
Pizza Roma,mit Vorderschinken und Salami,nicht vegetarisch
Pizza Salame Funghi,mit Salami und Champignons,nicht vegetarisch
Pizza Peperoniwurst Funghi,mit Peperoniwurst und Champignons,nicht vegetarisch
Pizza Prosciutto Funghi,mit Vorderschinken und Champignons,nicht vegetarisch
Pizza Regina,mit Vorderschinken und Paprika,nicht vegetarisch
Pizza Hawaii,mit Vorderschinken und Ananas,nicht vegetarisch
Pizza Mozzarella,"mit frischen Tomaten, Mozzarella und Basilikum",vegetarisch
Pizza Mista,"mit Vorderschinken, Salami und Champignons",nicht vegetarisch
Pizza Navi,"mit Vorderschinken, Salami, Peperoniwurst und Champignons",nicht vegetarisch
Pizza Vier Jahreszeiten,"mit Vorderschinken, Salami, Paprika und Champignons",nicht vegetarisch
Pizza Italia,"mit Vorderschinken, Paprika und Spiegelei",nicht vegetarisch
Pizza Tonno Cipolla,"mit Thunfisch, Zwiebel und Knoblauch",nicht vegetarisch
Pizza Frutti di Mare,mit Meeresfrüchten,nicht vegetarisch
Pizza Sardellen,"mit Sardellen, Kapern und Zwiebeln",nicht vegetarisch
Pizza Capricciosa,"mit Vorderschinken, Champignons, Oliven und Artischocken",nicht vegetarisch
Pizza Diavolo,"mit Peperoniwurst, grüne Peperoni und Paprika",nicht vegetarisch
Pizza Bobby's,"mit frischen Tomaten, Spinat und Mozzarella",vegetarisch
Pizza Vegetarisch,"mit Champignons, Paprika, Artischocken, Broccoli, Spinat, grüne Peperoni, Zwiebeln und Oliven",vegetarisch
Pizza Speciale,"mit Vorderschinken, Salami, Peperoniwurst, Oliven, Champignons, grüne Peperoni, Paprika und Zwiebeln",nicht vegetarisch
Pizza Milano,"mit Vorderschinken, Salami, gemischtem Hackfleisch, Zwiebeln, Jalapenos und Knoblauch",nicht vegetarisch
Pizza Mexicana,"mit Peperoniwurst, Champignons, Paprika, Kidney Bohnen, Mais, Knoblauch und Jalapenos",nicht vegetarisch
Pizza Santana,"mit Hähnchenbrustfilet, Hirtenkäse, Zwiebeln, grüne Peperoni und Chili",nicht vegetarisch
Pizza Hähnchen-Gyros,"mit Hähnchenbrustfilet, Curry und Zwiebeln",nicht vegetarisch
Pizza Holondaise,"mit Vorderschinken, Salami, Hähnchenbrustfilet, Paprika, Zwiebeln, Chili und Sauce Holondaise",nicht vegetarisch
Pizza Barbecue,"mit Hähnchenbrustfilet, Zwiebeln, Paprika und BBQ-Sauce",nicht vegetarisch
Pizza Texas,"mit Peperoniwurst, Paprika, Mozzarella und BBQ-Sauce",nicht vegetarisch
Pizza Mumbai,"mit Salami, Mais, Hähnchenbrustfilet und Zwiebeln",nicht vegetarisch
Pizza Quattro Formaggi,"mit Edamer, Hirtenkäse, Gorgonzola und Mozzarella",vegetarisch
Pizza Calzone,"mit Vorderschinken, Salami und Champignons",nicht vegetarisch
Pizza Mafia,"mit Vorderschinken, gemischtem Hackfleisch, Hirtenkäse, Chilli, Zwiebeln und grüne Peperoni",nicht vegetarisch
Pizza Sucuk,"mit Zwiebeln, Paprika und Champignons",nicht vegetarisch
