spieltag	sp_nr	tore1	tore2	debug_user	debug_time
1	1	1	6	Marius	2022-08-06 02:07:09
1	2	3	1	Marius	2022-08-06 17:22:31
1	3	3	1	Marius	2022-08-06 17:24:00
1	4	2	2	Marius	2022-08-06 17:27:05
1	5	1	2	Marius	2022-08-06 17:30:00
1	6	0	4	Marius	2022-08-06 17:21:18
1	7	1	0	Marius	2022-08-06 20:40:19
1	8	1	1	Marius	2022-08-07 17:34:19
1	9	3	1	Marius	2022-08-07 19:32:24
2	1	1	3	Marius	2022-08-15 00:03:49
2	2	2	2	Marius	2022-08-15 00:03:49
2	3	1	2	Marius	2022-08-15 00:03:49
2	4	1	1	Marius	2022-08-15 00:03:50
2	5	3	2	Marius	2022-08-15 00:03:50
2	6	2	2	Marius	2022-08-15 00:03:50
2	7	2	2	Marius	2022-08-15 00:03:50
2	8	0	0	Marius	2022-08-15 00:03:50
2	9	2	0	Marius	2022-08-15 00:03:50
3	1	1	0	BOT	2022-08-24 01:32:05
3	2	0	3	BOT	2022-08-24 01:32:05
3	3	0	1	BOT	2022-08-24 01:32:05
3	4	2	3	BOT	2022-08-24 01:32:05
3	5	0	0	BOT	2022-08-24 01:32:05
3	6	1	2	BOT	2022-08-24 01:32:05
3	7	2	1	BOT	2022-08-24 01:32:05
3	8	1	1	BOT	2022-08-24 01:32:05
3	9	0	7	BOT	2022-08-24 01:32:06
4	1	1	0	BOT	2022-08-28 19:30:18
4	2	1	6	BOT	2022-08-28 19:30:18
4	3	0	1	BOT	2022-08-28 19:30:18
4	4	0	3	BOT	2022-08-28 19:30:18
4	5	1	0	BOT	2022-08-28 19:30:18
4	6	2	0	BOT	2022-08-28 19:30:18
4	7	1	1	BOT	2022-08-28 19:30:18
4	8	0	0	BOT	2022-08-28 19:30:19
4	9	3	4	BOT	2022-08-28 19:30:19
5	1	1	0	BOT	2022-09-04 19:30:17
5	2	0	2	BOT	2022-09-04 19:30:17
5	3	2	3	BOT	2022-09-04 19:30:17
5	4	1	1	BOT	2022-09-04 19:30:17
5	5	2	4	BOT	2022-09-04 19:30:18
5	6	1	1	BOT	2022-09-04 19:30:18
5	7	4	0	BOT	2022-09-04 19:30:18
5	8	0	2	BOT	2022-09-04 19:30:18
5	9	0	1	BOT	2022-09-04 19:30:18
6	1	0	1	BOT	2022-09-11 19:30:22
6	2	2	2	BOT	2022-09-11 19:30:23
6	3	2	2	BOT	2022-09-11 19:30:23
6	4	0	1	BOT	2022-09-11 19:30:23
6	5	4	1	BOT	2022-09-11 19:30:23
6	6	3	0	BOT	2022-09-11 19:30:23
6	7	3	1	BOT	2022-09-11 19:30:23
