user_nr	richtig	tendenz	differenz	punkte	spieltag	platz
2	2	2	3	14	1	1
2	0	1	2	5	2	2
2	1	2	0	5	3	3
2	1	4	1	9	4	2
2	1	3	2	10	5	1
2	0	1	2	5	6	1
2	2	1	2	11	7	1
2	1	3	0	6	8	1
2	0	2	0	2	9	1
2	0	6	1	8	10	1
2	1	2	2	9	11	1
2	4	1	1	15	12	1
2	0	6	1	8	13	1
2	1	2	2	9	14	1
2	1	3	2	10	15	1
2	0	3	0	3	16	1
2	1	3	1	8	17	2
2	0	4	1	6	18	19
2	1	3	2	10	19	3
2	2	1	2	11	20	3
2	0	2	1	4	21	6
2	0	3	0	3	22	13
2	0	3	1	5	23	21
2	2	2	2	12	24	7
2	1	1	0	4	25	6
2	0	2	1	4	26	8
2	1	3	1	8	27	5
2	0	2	1	4	28	9
2	1	3	0	6	29	8
2	0	2	0	2	30	14
2	0	1	1	3	31	19
2	0	7	1	9	32	16
2	1	2	0	5	33	14
2	2	3	1	11	34	9
3	1	2	1	7	1	12
3	0	2	1	4	2	26
3	0	2	2	6	3	25
3	0	2	3	8	4	25
3	2	2	2	12	5	4
3	0	1	1	3	6	7
3	0	1	2	5	7	9
3	0	4	0	4	8	14
3	1	2	1	7	9	12
3	0	4	0	4	10	15
3	0	1	4	9	11	13
3	0	3	2	7	12	16
3	2	4	0	10	13	17
3	0	1	1	3	14	21
3	1	1	2	8	15	20
3	1	1	0	4	16	20
3	1	2	2	9	17	20
3	0	3	2	7	18	10
3	0	3	1	5	19	18
3	0	3	0	3	20	34
3	0	1	1	3	21	36
3	0	3	0	3	22	37
3	0	4	0	4	23	37
3	0	2	1	4	24	37
3	2	1	1	9	25	36
3	0	2	0	2	26	37
3	1	2	0	5	27	35
3	0	0	3	6	28	35
3	0	2	0	2	29	36
3	0	3	1	5	30	36
3	0	1	0	1	31	36
3	0	1	0	1	32	36
3	0	1	2	5	34	35
4	1	3	2	10	1	5
4	0	1	2	5	2	9
4	1	1	0	4	3	20
4	1	1	2	8	4	16
4	1	2	1	7	5	11
