team_nr	team_name	open_db_name	city	stadium
1	FC Bayern	FC Bayern München	M&uuml;nchen	Allianz Arena
2	Wolfsburg	VfL Wolfsburg	Wolfsburg	Volkswagen Arena
3	Hoffenheim	TSG 1899 Hoffenheim	Sinsheim	PreZero Arena
4	Augsburg	FC Augsburg	Augsburg	WWK Arena
5	RaBa Leipzig	RB Leipzig	Leipzig	RaBa Arena
6	M'Gladbach	Borussia Mönchengladbach	M&ouml;nchengladbach	Stadion im Borussia-Park
7	Freiburg	SC Freiburg	Freiburg	Europa-Park Stadion
8	Mainz	1. FSV Mainz 05	Mainz	Mewa Arena
9	Schalke	FC Schalke 04	Gelsenkirchen	Veltins-Arena
10	Hertha	Hertha BSC	Berlin	Olympiastadion
11	Bremen	Werder Bremen	Bremen	Weserstadion
12	Eintracht	Eintracht Frankfurt	Frankfurt	Deutsche Bank Park
13	FC K&ouml;ln	1. FC Köln	K&ouml;ln	RheinEnergieSTADION
14	Bielefeld	Arminia Bielefeld	Bielefeld	
15	Union	1. FC Union Berlin	Berlin	Stadion An der Alten F&ouml;rsterei
16	Dortmund	Borussia Dortmund	Dortmund	SIGNAL IDUNA PARK
17	Leverkusen	Bayer Leverkusen	Leverkusen	BayArena
18	Stuttgart	VfB Stuttgart	Stuttgart	Mercedes-Benz Arena
19	F&uuml;rth	SpVgg Greuther Fürth	F&uml;rth	
20	Bochum	VfL Bochum	Bochum	Vonovia Ruhrstadion
